time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-04-05T16:22:28.272Z,24.0853,121.787,10,4.4,mb,25,75,0.692,0.98,us,us7000mbqb,2024-04-15T14:23:21.040Z,"22 km ENE of Hualien City, Taiwan",earthquake,4.51,0.73,0.131,17,reviewed,us,us
2024-04-05T15:00:38.592Z,24.2445,121.7856,17.101,4.9,mb,22,79,0.564,0.61,us,us7000ma78,2024-04-05T15:37:02.040Z,"34 km NNE of Hualien City, Taiwan",earthquake,3.15,5.544,0.122,21,reviewed,us,us
2024-04-05T10:08:49.507Z,24.0583,121.6783,21.731,4.4,mb,24,122,0.668,0.34,us,us7000ma2r,2024-04-12T10:04:53.040Z,"11 km NE of Hualien City, Taiwan",earthquake,2.1,6.19,0.149,14,reviewed,us,us
2024-04-05T09:04:56.187Z,23.9836,121.6645,20.287,4.3,mwr,79,76,0.678,0.78,us,us7000ma2d,2024-04-05T10:00:05.040Z,"6 km E of Hualien City, Taiwan",earthquake,2.12,4.82,0.068,21,reviewed,us,us
2024-04-05T06:12:47.459Z,23.8085,121.5836,10.206,4.7,mwr,57,79,0.49,0.64,us,us7000ma1q,2024-04-05T06:31:46.040Z,"18 km S of Hualien City, Taiwan",earthquake,3.21,4.078,0.065,23,reviewed,us,us
2024-04-05T04:50:50.493Z,24.0725,121.7087,15.923,5.1,mww,63,67,0.667,0.69,us,us7000ma1f,2024-04-05T07:22:10.765Z,"14 km NE of Hualien City, Taiwan",earthquake,2.66,4.387,0.11,8,reviewed,us,us
2024-04-05T04:40:52.407Z,24.1266,121.7737,10,4.6,mb,40,74,0.651,0.65,us,us7000ma1e,2024-04-05T05:14:47.040Z,"23 km NE of Hualien City, Taiwan",earthquake,3.03,1.771,0.078,49,reviewed,us,us
2024-04-04T19:55:30.310Z,23.7707,121.8886,18.658,4.4,mb,38,89,0.66,0.69,us,us7000mbpf,2024-04-12T19:06:43.040Z,"36 km SE of Hualien City, Taiwan",earthquake,2.28,5.306,0.108,25,reviewed,us,us
2024-04-04T18:42:37.113Z,24.2834,121.934,22.917,4.5,mb,54,70,0.638,0.36,us,us7000m9yf,2024-04-13T13:50:54.040Z,"47 km NE of Hualien City, Taiwan",earthquake,2.63,5.385,0.088,38,reviewed,us,us
2024-04-04T18:35:01.783Z,24.1458,121.6806,34.539,4.9,mww,68,73,0.591,0.77,us,us7000m9yb,2024-04-13T13:40:27.756Z,"20 km NNE of Hualien City, Taiwan",earthquake,3.74,4.239,0.083,14,reviewed,us,us
2024-04-04T17:24:51.194Z,24.2361,121.7469,20.481,4.4,mwr,56,63,0.548,0.53,us,us7000m9xz,2024-04-13T12:47:54.489Z,"32 km NNE of Hualien City, Taiwan",earthquake,3.55,4.422,0.065,23,reviewed,us,us
2024-04-04T14:30:06.269Z,24.2289,121.7875,17.582,4.9,mb,48,63,0.577,0.82,us,us7000m9vn,2024-04-04T19:13:03.040Z,"33 km NNE of Hualien City, Taiwan",earthquake,4.05,3.907,0.043,177,reviewed,us,us
2024-04-04T06:44:54.427Z,24.2365,121.873,24.859,4,mwr,23,77,0.625,0.91,us,us7000mbnx,2024-04-20T08:59:38.040Z,"39 km NE of Hualien City, Taiwan",earthquake,2.43,5.256,0.08,15,reviewed,us,us
2024-04-04T05:16:57.223Z,24.1688,121.7554,32.261,4.4,mb,38,78,0.607,0.71,us,us7000m9tk,2024-04-20T08:37:42.040Z,"26 km NE of Hualien City, Taiwan",earthquake,2.83,5.915,0.108,25,reviewed,us,us
2024-04-04T05:00:30.740Z,24.2098,121.7837,27.771,4.5,mwr,79,78,0.59,0.61,us,us7000m9tg,2024-04-20T08:29:55.040Z,"31 km NE of Hualien City, Taiwan",earthquake,3.7,4.862,0.062,25,reviewed,us,us
2024-04-04T04:11:48.938Z,24.2227,121.7039,31.168,4.4,mb,41,77,0.536,0.9,us,us7000mbnd,2024-04-14T02:53:51.040Z,"29 km NNE of Hualien City, Taiwan",earthquake,3.42,5.512,0.12,20,reviewed,us,us
2024-04-04T03:14:29.253Z,23.9883,121.6925,36.932,4.5,mb,19,125,0.695,0.52,us,us7000m9t2,2024-04-04T19:16:30.040Z,"9 km E of Hualien City, Taiwan",earthquake,2.49,9.347,0.243,5,reviewed,us,us
2024-04-04T02:02:54.543Z,24.2544,121.8265,11.856,4.6,mb,40,119,0.583,0.65,us,us7000m9si,2024-04-04T19:19:01.040Z,"38 km NE of Hualien City, Taiwan",earthquake,1.62,4.487,0.12,21,reviewed,us,us
2024-04-04T01:29:08.260Z,23.7721,121.5464,13.797,4.6,mb,51,81,0.442,0.75,us,us7000m9sb,2024-04-04T19:20:51.040Z,"23 km SSW of Hualien City, Taiwan",earthquake,4.34,4.898,0.099,30,reviewed,us,us
2024-04-03T22:46:35.681Z,23.9512,121.7035,43.784,4.3,mb,37,84,0.669,0.81,us,us7000m9r8,2024-04-03T23:13:54.040Z,"10 km ESE of Hualien City, Taiwan",earthquake,4.24,8.528,0.123,19,reviewed,us,us
2024-04-03T21:56:11.907Z,24.1636,121.713,17.225,4.8,mb,58,76,0.59,0.77,us,us7000m9r0,2024-04-04T19:22:41.040Z,"23 km NNE of Hualien City, Taiwan",earthquake,3.95,4.622,0.092,37,reviewed,us,us
2024-04-03T20:29:19.365Z,24.27,121.7986,18.648,4.1,mwr,61,61,0.554,0.62,us,us7000m9qk,2024-04-14T21:05:05.040Z,"37 km NNE of Hualien City, Taiwan",earthquake,2.5,4.347,0.071,19,reviewed,us,us
